x,Curve1
2.26,0.0001626
9.41,0.0003321
14.94,0.0004691
22.1,0.0005997
28.27,0.0007562
38.35,0.0009455
46.82,0.0010698
54.63,0.001207
65.69,0.0013899
77.07,0.0016054
86.5,0.0018142
103.09,0.0021795
124.87,0.0026818
146.98,0.0031906
166.16,0.0036406
183.06,0.0040515
199.96,0.0044558
216.87,0.0048537

x,Curve2
7.17,3.97e-05
14.66,9.24e-05
23.13,0.0001582
31.28,0.0002175
38.11,0.0003156
43.65,0.0003747
53.09,0.0004795
61.23,0.0005908
71.64,0.0007412
80.76,0.000872
97.35,0.0011335
113.62,0.0014144
129.88,0.0017278
147.77,0.0021063
163.37,0.0024585
180.61,0.0028564
195.56,0.0031956
208.89,0.0035152
223.84,0.0038674
236.85,0.0041869
249.19,0.0045064

x,Curve3
12.39,-1.82e-05
24.46,-4e-06
30.65,9.7e-06
36.84,2.98e-05
43.69,5.65e-05
50.53,8.97e-05
61.94,0.0001558
74.32,0.0002285
82.46,0.0002878
88,0.0003598
101.02,0.0004845
113.39,0.0006417
125.11,0.0007922
136.5,0.0009817
153.42,0.0012692
177.81,0.0017587
201.23,0.0022417
223.67,0.0027245
246.75,0.0032464
268.54,0.0037162

x,Curve4
8.15,-1.21e-05
42.39,-1.51e-05
67.5,-1.9e-05
80.87,8.4e-06
99.44,0.0001142
114.76,0.0002002
130.72,0.0003123
144.4,0.0004371
162.31,0.0006208
175.98,0.000791
188.02,0.0009871
214.05,0.0014378
232.92,0.0018099
252.75,0.0022211
268.04,0.0025603
281.69,0.0028734
296.97,0.0032257

x,Curve5
4.24,6.9e-06
47.94,-8e-06
91.3,3e-06
112.17,-1.3e-06
130.43,7.2e-05
142.81,0.0001057
152.91,0.0001587
165.3,0.000212
174.42,0.0002844
188.43,0.0003832
201.13,0.0004949
227.17,0.0008288
249.3,0.0011882
272.4,0.0015997
291.26,0.0019848
306.87,0.0023436
321.83,0.0026503

x,Curve6
6.85,7e-07
54.46,5.7e-06
104.35,-2.1e-06
143.15,1.9e-06
167.61,1.74e-05
183.91,3.86e-05
191.4,9.13e-05
208.02,0.0001645
220.73,0.0002567
233.76,0.0003684
245.48,0.0004736
266.97,0.0007096
285.2,0.0009972
304.07,0.0013173
323.26,0.001644
338.55,0.0019637

x,Curve7
4.57,5e-07
77.28,8e-06
120,-5e-07
175.11,-1.43e-05
201.52,8e-06
221.73,3.6e-05
235.42,0.0001154
252.04,0.000182
262.79,0.0002741
277.12,0.0003794
294.06,0.00055
307.74,0.0006878
316.2,0.0008056
335.4,0.0010738
353.3,0.0013419
369.9,0.0016099

x,Curve8
15.33,-4.9e-06
100.11,-2.6e-06
157.5,-3.1e-06
191.09,1.34e-05
234.78,-1.46e-05
253.37,2.63e-05
262.82,4.68e-05
274.23,7.39e-05
285.31,0.0001206
296.39,0.0001801
304.86,0.0002265
317.24,0.0003122
325.06,0.0003714
341.99,0.000555
357.95,0.000719
371.3,0.0009022

x,Curve9
15.65,-4.9e-06
80.22,1.8e-06
136.96,1.2e-06
192.72,5e-07
243.59,-7e-07
283.37,-3e-06
295.76,4.8e-06
305.21,5.12e-05
316.29,7.83e-05
327.05,0.0001249
335.85,0.0001778
346.6,0.0002503
357.03,0.0003033
364.19,0.0003495
372.99,0.0004089
