PlateVoltage,0V,-4V,-8V,-12V,-16V,-20V,-24V,-28V,-32V
0.003,0.00203,0.00051,0.00203,-0.00051,0.00051,0.00254,0.00051,0.00152,-7.53265e-07
0.008,0.00203,0.00055,0.00203,-0.00051,0.00051,0.00254,0.00051,0.00152,-7.53265e-07
0.01,0.00203,0.00059,0.00203,-0.00051,0.00051,0.00254,0.00051,0.00153,-7.53265e-07
0.55,0.00203,0.00458,0.00203,-0.00051,0.00051,0.00475,0.00051,0.00244,-7.53265e-07
0.56,0.00203,0.0046,0.00203,-0.00046,0.00051,0.00477,0.00051,0.00244,-7.53265e-07
0.56,0.00203,0.00462,0.00203,-0.0004,0.00051,0.00478,0.00051,0.00244,3e-06
0.57,0.00203,0.00469,0.00203,-0.00025,0.00058,0.00481,0.00051,0.00246,1e-05
1.11,0.01115,0.00882,0.01092,0.00969,0.00529,0.00705,0.00051,0.00337,0.00064
3.58,0.05529,0.03093,0.05052,0.04369,0.02576,0.01697,0.00913,0.00744,0.00346
4.84,0.08359,0.0479,0.07012,0.05544,0.03529,0.02183,0.01336,0.00946,0.00485
4.93,0.08587,0.04939,0.07145,0.05617,0.03592,0.02216,0.01365,0.00959,0.00495
5.32,0.09681,0.0569,0.07736,0.05932,0.03871,0.02364,0.01493,0.01021,0.00538
9.34,0.17936,0.14298,0.11432,0.08214,0.06122,0.03683,0.02638,0.01599,0.00936
9.71,0.18331,0.14684,0.11613,0.08358,0.06275,0.03783,0.02726,0.01647,0.00968
9.92,0.18536,0.14879,0.11707,0.08434,0.06356,0.03836,0.02774,0.01672,0.00986
10.11,0.18713,0.15043,0.11787,0.08499,0.06425,0.03883,0.02816,0.01695,0.01002
10.22,0.18821,0.15142,0.11836,0.08539,0.06468,0.03911,0.02841,0.01709,0.01012
10.94,0.1943,0.15683,0.1211,0.08763,0.06706,0.04072,0.02989,0.0179,0.01069
11.78,0.20072,0.16223,0.12395,0.08994,0.06945,0.04236,0.03146,0.01878,0.01131
12.3,0.20433,0.16515,0.12554,0.09121,0.07071,0.04322,0.03232,0.01927,0.01167
12.41,0.20511,0.16577,0.12588,0.09147,0.07097,0.0434,0.0325,0.01937,0.01175
19.7,0.24337,0.19286,0.14325,0.10344,0.07857,0.04824,0.03801,0.02225,0.01447
19.73,0.24349,0.19294,0.14331,0.10347,0.07858,0.04825,0.03801,0.02225,0.01448
21.72,0.25239,0.19868,0.1478,0.10617,0.07906,0.04882,0.03819,0.02232,0.01467
21.95,0.25342,0.19935,0.14834,0.10649,0.0791,0.04888,0.03819,0.02232,0.01468
22.24,0.25468,0.20017,0.14902,0.10688,0.07914,0.04896,0.03818,0.02233,0.01469
22.36,0.25522,0.20053,0.14931,0.10705,0.07916,0.049,0.03818,0.02233,0.0147
24.12,0.26274,0.20556,0.15356,0.10944,0.0794,0.04947,0.03808,0.02236,0.01472
25.1,0.26682,0.20838,0.15598,0.11079,0.07952,0.04971,0.03801,0.02237,0.0147
26.57,0.27277,0.2126,0.1596,0.11281,0.07974,0.05001,0.03791,0.02238,0.01464
29.94,0.28553,0.22208,0.16757,0.11742,0.08049,0.05035,0.03765,0.02234,0.01438
31.41,0.29079,0.22612,0.17083,0.11943,0.08092,0.05026,0.03749,0.0223,0.01422
34.68,0.30185,0.23473,0.17749,0.12384,0.08206,0.04934,0.03705,0.02211,0.01377
37.93,0.31206,0.24276,0.18338,0.12817,0.08344,0.04787,0.03654,0.0218,0.01318
38.61,0.3141,0.24436,0.18453,0.12906,0.08376,0.0476,0.03643,0.02172,0.01304
38.83,0.31476,0.24488,0.18491,0.12935,0.08387,0.04752,0.03639,0.02169,0.01299
40.29,0.31896,0.2482,0.18726,0.13125,0.08459,0.0472,0.03616,0.02149,0.01266
41.32,0.32182,0.25047,0.18886,0.13257,0.08513,0.04724,0.03599,0.02134,0.0124
42.32,0.3245,0.25262,0.19037,0.13383,0.08568,0.04749,0.03584,0.02118,0.01214
42.95,0.32616,0.25395,0.19131,0.13463,0.08604,0.04773,0.03574,0.02108,0.01196
46.64,0.33507,0.26136,0.19652,0.13912,0.08835,0.04993,0.0352,0.02049,0.01078
48.65,0.33948,0.2652,0.19923,0.14148,0.08979,0.05126,0.03494,0.02017,0.01006
53.56,0.34914,0.27399,0.20552,0.14695,0.09378,0.05421,0.03448,0.0195,0.0083
56.19,0.35386,0.27842,0.20874,0.14972,0.09612,0.0558,0.03439,0.01927,0.00755
56.82,0.35494,0.27945,0.20948,0.15036,0.09668,0.05619,0.03439,0.01923,0.00741
57.71,0.35648,0.28092,0.21056,0.15127,0.0975,0.05675,0.03441,0.01919,0.00725
58.7,0.35815,0.28251,0.21173,0.15226,0.09839,0.05738,0.03445,0.01917,0.00712
60.34,0.36089,0.28512,0.21366,0.15388,0.09989,0.05845,0.03459,0.01918,0.00702
63.16,0.36546,0.28943,0.21691,0.15659,0.1024,0.06038,0.03501,0.01934,0.00718
64.51,0.3676,0.29143,0.21845,0.15785,0.10357,0.06135,0.0353,0.01947,0.00739
66.27,0.37034,0.29395,0.22044,0.15947,0.10507,0.06264,0.03574,0.01971,0.00777
67.32,0.37193,0.29541,0.22161,0.16042,0.10594,0.06341,0.03604,0.01987,0.00804
70.26,0.37632,0.29935,0.22487,0.16302,0.10835,0.0656,0.037,0.02045,0.00891
73.51,0.38097,0.30343,0.22836,0.16579,0.11093,0.068,0.03819,0.02124,0.00996
79.56,0.38907,0.31036,0.23436,0.17072,0.11559,0.0723,0.04059,0.02302,0.01183
80,0.38963,0.31083,0.23477,0.17107,0.11592,0.0726,0.04077,0.02315,0.01195
82.35,0.39252,0.31329,0.23688,0.1729,0.11767,0.07416,0.04172,0.0239,0.01259
82.69,0.39292,0.31364,0.23717,0.17316,0.11792,0.07437,0.04186,0.024,0.01268
85.49,0.39614,0.31643,0.23953,0.17528,0.11997,0.0761,0.04298,0.02488,0.01336
86.96,0.39775,0.31785,0.24074,0.17637,0.12104,0.07696,0.04356,0.02534,0.0137
90.2,0.40111,0.32088,0.2433,0.17872,0.12335,0.07875,0.04482,0.02631,0.0144
91.88,0.40275,0.3224,0.24459,0.1799,0.12454,0.07962,0.04546,0.02681,0.01474
93.66,0.40442,0.32397,0.24593,0.18113,0.12578,0.0805,0.04611,0.02731,0.01508
104.6,0.41348,0.33288,0.2536,0.18808,0.13289,0.08539,0.04982,0.03022,0.01696
105.73,0.41433,0.33373,0.25434,0.18874,0.13357,0.08587,0.05018,0.03051,0.01713
109.17,0.41684,0.33623,0.25653,0.19069,0.13554,0.08729,0.05126,0.03136,0.01764
112.8,0.41941,0.33873,0.25874,0.19263,0.13749,0.08877,0.05238,0.03224,0.01815
113.38,0.41981,0.33912,0.25908,0.19294,0.13779,0.08901,0.05256,0.03238,0.01822
117.65,0.42271,0.34185,0.26153,0.19508,0.13988,0.09075,0.05386,0.0334,0.01878
119.2,0.42374,0.34279,0.26238,0.19583,0.14059,0.09138,0.05434,0.03376,0.01898
119.72,0.42409,0.3431,0.26265,0.19608,0.14082,0.09159,0.0545,0.03388,0.01905
122.06,0.42562,0.34446,0.26389,0.19718,0.14184,0.09252,0.05522,0.03442,0.01934
132.99,0.43245,0.35013,0.26911,0.20192,0.14608,0.09665,0.05863,0.03683,0.02065
138.63,0.43579,0.3527,0.27152,0.20417,0.14802,0.0986,0.06038,0.03796,0.02132
