AnodeVoltage,0V,-2V,-4V,-6V,-8V,-10V,-12V,-14V,-16V
0.00,0.00035,-0.00034,-0.00069,0.00035,0.00241,0.00034,-0.00069,0.00414,0.00034
0.69,0.00035,0.00375,-0.00069,0.00035,0.00241,0.00362,0.00656,0.00414,0.00034
1.37,0.00883,0.00776,0.00284,0.00457,0.00241,0.00674,0.00833,0.00414,0.00086
2.06,0.01496,0.01162,0.00634,0.00867,0.00915,0.0096,0.00931,0.00414,0.00152
2.75,0.01925,0.01527,0.00976,0.01253,0.01274,0.01209,0.00994,0.00414,0.00193
3.43,0.02242,0.0187,0.01309,0.01607,0.01524,0.01414,0.01037,0.00442,0.00221
4.12,0.02488,0.02187,0.01629,0.01924,0.01724,0.01572,0.01068,0.00469,0.00242
5.49,0.02873,0.02752,0.02225,0.02449,0.02046,0.0176,0.01107,0.00513,0.0027
6.18,0.03036,0.03,0.025,0.02659,0.02181,0.01814,0.01118,0.00529,0.0028
7.55,0.03328,0.03444,0.03001,0.03004,0.02418,0.01879,0.01129,0.00555,0.00294
9.62,0.03725,0.04027,0.03646,0.03404,0.02706,0.01924,0.01125,0.00577,0.00307
10.3,0.03856,0.04208,0.03842,0.03518,0.02787,0.01932,0.0112,0.00581,0.0031
11.68,0.04135,0.04561,0.04213,0.03729,0.02929,0.0194,0.01104,0.00586,0.00313
12.36,0.0429,0.04736,0.04391,0.03828,0.02991,0.01942,0.01094,0.00587,0.00315
13.74,0.0467,0.05084,0.04736,0.0402,0.03095,0.01944,0.01072,0.00587,0.00316
14.42,0.04932,0.05261,0.04905,0.04111,0.03139,0.01944,0.0106,0.00586,0.00316
15.8,0.05745,0.05622,0.05242,0.04277,0.0321,0.01942,0.01034,0.00582,0.00316
17.17,0.06622,0.05999,0.05589,0.04422,0.03263,0.0194,0.01008,0.00577,0.00315
19.23,0.07483,0.0659,0.06091,0.04604,0.03317,0.01938,0.0097,0.00568,0.00312
21.29,0.08208,0.07203,0.06484,0.04752,0.0335,0.01937,0.00937,0.00557,0.00307
21.98,0.08462,0.07411,0.06589,0.04795,0.03358,0.01937,0.00928,0.00554,0.00306
24.04,0.09346,0.08037,0.06849,0.04909,0.03374,0.01939,0.00907,0.00542,0.00301
24.73,0.09657,0.08243,0.0692,0.04943,0.03378,0.0194,0.00902,0.00538,0.00299
25.41,0.09796,0.08444,0.06986,0.04975,0.03382,0.01942,0.00898,0.00535,0.00297
27.47,0.10243,0.08955,0.07152,0.05064,0.03392,0.0195,0.00896,0.00524,0.00291
28.85,0.10795,0.09174,0.0724,0.05118,0.034,0.01958,0.00899,0.00517,0.00287
30.22,0.11232,0.09354,0.07312,0.05167,0.0341,0.01968,0.00907,0.0051,0.00283
30.91,0.11397,0.09432,0.07343,0.05191,0.03416,0.01973,0.00913,0.00507,0.00281
32.28,0.11657,0.09566,0.07396,0.05235,0.0343,0.01986,0.00926,0.00501,0.00277
36.4,0.12128,0.0983,0.07506,0.05353,0.03489,0.02032,0.00979,0.00489,0.00267
37.77,0.12244,0.09885,0.07533,0.05388,0.03512,0.0205,0.01001,0.00486,0.00263
40.52,0.12415,0.09967,0.07578,0.05451,0.03562,0.0209,0.01047,0.00485,0.00257
41.21,0.12441,0.09984,0.07589,0.05466,0.03576,0.021,0.0106,0.00486,0.00256
