PlateVoltage,0V,-2V,-4V,-6V,-8V,-10V,-12V,-14V,-16V
-5e-15,0.00035,-0.00034,-0.00069,0.00035,0.00241,0.00034,-0.00069,0.00414,-0.00034
1.37,0.00883,0.00777,0.00283,0.00454,0.00241,0.00685,0.00832,0.00414,0.0009
2.75,0.01925,0.01529,0.00972,0.01245,0.01287,0.01214,0.00994,0.00414,0.00194
4.12,0.02488,0.02189,0.01624,0.01919,0.01724,0.01567,0.01069,0.0047,0.00242
5.49,0.02873,0.02752,0.02222,0.02449,0.02037,0.01755,0.01108,0.00513,0.00269
6.87,0.03186,0.03229,0.02757,0.02847,0.02292,0.01849,0.01126,0.00544,0.00287
8.24,0.03463,0.03645,0.03229,0.03157,0.02508,0.01899,0.0113,0.00564,0.00299
9.62,0.03725,0.04025,0.03651,0.03412,0.02693,0.01924,0.01125,0.00577,0.00306
10.99,0.03992,0.04384,0.04037,0.03631,0.02852,0.01936,0.01113,0.00584,0.00312
12.36,0.0429,0.04733,0.04399,0.03828,0.02985,0.01941,0.01095,0.00587,0.00315
13.74,0.0467,0.05082,0.04743,0.04013,0.03094,0.01941,0.01073,0.00587,0.00316
15.11,0.05289,0.05439,0.05077,0.04183,0.03178,0.01938,0.01048,0.00585,0.00316
16.48,0.06219,0.05809,0.05409,0.04336,0.03242,0.01936,0.01023,0.0058,0.00316
17.86,0.06946,0.06196,0.05744,0.04473,0.03287,0.01933,0.00997,0.00575,0.00314
19.23,0.07483,0.06597,0.06066,0.04593,0.03319,0.01931,0.00972,0.00568,0.00312
20.6,0.07966,0.07006,0.06355,0.047,0.03342,0.0193,0.0095,0.00561,0.00309
21.98,0.08462,0.07422,0.06602,0.04795,0.03357,0.0193,0.0093,0.00554,0.00306
23.35,0.09018,0.07837,0.06802,0.04878,0.03367,0.01932,0.00914,0.00547,0.00302
24.73,0.09657,0.08243,0.06957,0.04953,0.03375,0.01935,0.00902,0.00539,0.00298
26.1,0.09934,0.08617,0.07078,0.0502,0.03383,0.01941,0.00896,0.00532,0.00294
27.47,0.10243,0.0893,0.07174,0.05081,0.0339,0.01948,0.00895,0.00525,0.0029
28.85,0.10795,0.09174,0.0725,0.05135,0.03399,0.01957,0.00899,0.00518,0.00286
30.22,0.11216,0.09389,0.07312,0.05185,0.0341,0.01968,0.00908,0.00511,0.00282
31.59,0.1153,0.09543,0.07363,0.0523,0.03423,0.0198,0.0092,0.00505,0.00278
32.97,0.11767,0.09653,0.07406,0.05272,0.03438,0.01995,0.00935,0.00499,0.00274
34.34,0.11945,0.09737,0.07443,0.0531,0.03456,0.02011,0.00953,0.00495,0.00271
35.71,0.12084,0.09802,0.07476,0.05346,0.03476,0.02028,0.00972,0.00491,0.00267
37.09,0.12196,0.09855,0.07505,0.05379,0.03497,0.02046,0.00993,0.00488,0.00264
38.46,0.12288,0.09899,0.07532,0.05409,0.03519,0.02065,0.01015,0.00486,0.00261
39.84,0.12363,0.09937,0.07556,0.05438,0.03542,0.02085,0.01038,0.00485,0.00258
41.21,0.12425,0.09971,0.07579,0.05464,0.03567,0.02106,0.0106,0.00486,0.00255
42.58,0.12476,0.10001,0.07601,0.05489,0.03592,0.02127,0.01083,0.00488,0.00253
43.96,0.12518,0.10029,0.07622,0.05513,0.03618,0.02149,0.01106,0.00492,0.0025
45.33,0.12555,0.10055,0.07642,0.05535,0.03645,0.02171,0.01129,0.00498,0.00249
46.7,0.12587,0.10079,0.07662,0.05556,0.03673,0.02194,0.01152,0.00505,0.00247
48.08,0.12617,0.10101,0.07683,0.05577,0.03701,0.02217,0.01175,0.00514,0.00246
49.45,0.12644,0.10123,0.07704,0.05596,0.03729,0.02241,0.01197,0.00524,0.00245
50.82,0.1267,0.10143,0.07725,0.05615,0.03758,0.02264,0.0122,0.00535,0.00245
52.2,0.12696,0.10163,0.07747,0.05634,0.03787,0.02288,0.01242,0.00548,0.00245
53.57,0.1272,0.10182,0.0777,0.05652,0.03817,0.02312,0.01265,0.00561,0.00245
54.95,0.12744,0.10201,0.07793,0.05669,0.03846,0.02336,0.01287,0.00575,0.00246
56.32,0.12768,0.1022,0.07816,0.05686,0.03875,0.0236,0.01309,0.0059,0.00247
57.69,0.12792,0.1024,0.07838,0.05703,0.03905,0.02384,0.01331,0.00605,0.00249
59.07,0.12817,0.10259,0.07861,0.0572,0.03934,0.02407,0.01353,0.0062,0.00251
60.44,0.12842,0.10279,0.07883,0.05736,0.03962,0.02429,0.01375,0.00635,0.00253
61.81,0.12867,0.10299,0.07905,0.05753,0.0399,0.02451,0.01397,0.00651,0.00255
63.19,0.12892,0.10319,0.07925,0.05769,0.04017,0.02471,0.01418,0.00666,0.00258
64.56,0.12917,0.10338,0.07945,0.05785,0.04044,0.02491,0.01439,0.00681,0.00261
65.93,0.12942,0.10357,0.07963,0.05801,0.04069,0.02509,0.0146,0.00695,0.00265
67.31,0.12968,0.10376,0.07981,0.05817,0.04092,0.02526,0.0148,0.00709,0.00268
68.68,0.12992,0.10394,0.07997,0.05834,0.04115,0.02542,0.015,0.00722,0.00272
70.05,0.13017,0.10412,0.08012,0.0585,0.04136,0.02557,0.01519,0.00735,0.00277
71.43,0.13042,0.10429,0.08027,0.05867,0.04155,0.02572,0.01538,0.00748,0.00281
72.8,0.13066,0.10445,0.0804,0.05884,0.04174,0.02586,0.01556,0.0076,0.00286
74.18,0.1309,0.10462,0.08053,0.05901,0.04191,0.02601,0.01572,0.00771,0.00291
75.55,0.13113,0.10478,0.08066,0.05919,0.04208,0.02616,0.01588,0.00783,0.00297
76.92,0.13136,0.10494,0.08078,0.05936,0.04224,0.02633,0.01602,0.00793,0.00303
78.3,0.13158,0.1051,0.0809,0.05954,0.04239,0.02651,0.01616,0.00804,0.00309
79.67,0.1318,0.10525,0.08102,0.05971,0.04254,0.0267,0.01629,0.00814,0.00316
81.04,0.13201,0.10541,0.08114,0.05989,0.04268,0.02689,0.0164,0.00824,0.00322
82.42,0.13221,0.10557,0.08126,0.06007,0.04282,0.02708,0.01651,0.00834,0.0033
83.79,0.1324,0.10573,0.08139,0.06025,0.04295,0.02728,0.01661,0.00844,0.00338
85.16,0.13258,0.10588,0.08152,0.06042,0.04308,0.02748,0.0167,0.00853,0.00346
86.54,0.13275,0.10604,0.08165,0.0606,0.04321,0.02767,0.01679,0.00862,0.00355
87.91,0.13291,0.1062,0.08178,0.06077,0.04333,0.02787,0.01687,0.00871,0.00365
89.29,0.13305,0.10637,0.08193,0.06094,0.04345,0.02806,0.01695,0.0088,0.00376
90.66,0.13319,0.10653,0.08207,0.06111,0.04357,0.02825,0.01702,0.00888,0.00388
92.03,0.13332,0.1067,0.08222,0.06127,0.04368,0.02843,0.01709,0.00896,0.00401
93.41,0.13345,0.10687,0.08238,0.06143,0.04379,0.0286,0.01716,0.00905,0.00415
94.78,0.13358,0.10704,0.08253,0.06158,0.0439,0.02877,0.01722,0.00912,0.0043
96.15,0.13372,0.10722,0.08269,0.06172,0.04401,0.02892,0.01728,0.0092,0.00444
97.53,0.13386,0.1074,0.08285,0.06186,0.04411,0.02907,0.01734,0.00928,0.00458
98.9,0.13401,0.10757,0.08301,0.062,0.04421,0.0292,0.01739,0.00935,0.00469
100.27,0.13417,0.10775,0.08316,0.06212,0.04431,0.02933,0.01745,0.00943,0.00478
101.65,0.13434,0.10792,0.08332,0.06223,0.0444,0.02945,0.0175,0.0095,0.00484
103.02,0.13452,0.10808,0.08347,0.06234,0.04449,0.02956,0.01756,0.00957,0.00487
104.4,0.1347,0.10824,0.08362,0.06244,0.04458,0.02966,0.01761,0.00963,0.0049
