PlateVoltage,0V,-5V,-10V,-15V,-20V,-25V,-30V,-35V,-40V,-45V,-50V
0.3,0.0003,-0.0003,-0.00029,-0.00029,4e-06,-0.00029,-0.0003,1e-06,7e-06,-0.00014,5.89348e-07
0.89,0.0003,-0.0003,-0.00029,-0.00029,4e-06,-0.00029,-0.00028,1e-06,7e-06,-0.00014,-3e-05
1.48,0.0003,-0.00032,-0.00029,-0.00029,4e-06,-0.00029,-0.00026,-2e-06,7e-06,-0.00014,-7e-05
2.08,0.00043,-0.00036,-0.00029,-0.00029,4e-06,-0.00029,-0.00024,-1e-05,7e-06,-0.00014,-9e-05
2.67,0.00071,-0.00041,-0.00029,-0.00029,4e-06,-0.00029,-0.00022,-2e-05,7e-06,-0.00014,-0.00011
3.26,0.00101,-0.00044,-0.00029,-0.00029,4e-06,-0.00029,-0.0002,-2e-05,7e-06,-0.00014,-0.00012
3.86,0.00131,-0.00048,-0.00029,-0.00029,4e-06,-0.00029,-0.00019,-3e-05,7e-06,-0.00014,-0.00013
4.45,0.00163,-0.00051,-0.00029,-0.00029,-7e-06,-0.00029,-0.00017,-4e-05,7e-06,-0.00015,-0.00014
5.04,0.00195,-0.00053,-0.00029,-0.00029,-3e-05,-0.00029,-0.00015,-5e-05,7e-06,-0.00015,-0.00014
5.64,0.00227,-0.00055,-0.0003,-0.00029,-5e-05,-0.00029,-0.00014,-5e-05,7e-06,-0.00015,-0.00014
6.23,0.0026,-0.00057,-0.0003,-0.00029,-8e-05,-0.00029,-0.00012,-6e-05,7e-06,-0.00015,-0.00014
6.82,0.00293,-0.00058,-0.00031,-0.00029,-0.0001,-0.00029,-0.00011,-7e-05,7e-06,-0.00015,-0.00014
7.42,0.00326,-0.00059,-0.00032,-0.00029,-0.00012,-0.00029,-0.0001,-7e-05,4e-06,-0.00015,-0.00014
8.01,0.00359,-0.00059,-0.00032,-0.00029,-0.00014,-0.00029,-8e-05,-8e-05,2e-06,-0.00015,-0.00014
8.6,0.00393,-0.0006,-0.00033,-0.00029,-0.00015,-0.00028,-7e-05,-8e-05,-8.2932e-07,-0.00015,-0.00014
9.2,0.00426,-0.0006,-0.00033,-0.00029,-0.00017,-0.00027,-6e-05,-9e-05,-3e-06,-0.00015,-0.00014
9.79,0.0046,-0.0006,-0.00033,-0.00029,-0.00019,-0.00027,-5e-05,-9e-05,-6e-06,-0.00015,-0.00013
10.38,0.00494,-0.00059,-0.00034,-0.00029,-0.0002,-0.00026,-4e-05,-0.0001,-8e-06,-0.00015,-0.00013
10.98,0.00529,-0.00059,-0.00034,-0.00029,-0.00022,-0.00025,-3e-05,-0.0001,-1e-05,-0.00015,-0.00012
11.57,0.00563,-0.00058,-0.00034,-0.00029,-0.00023,-0.00024,-3e-05,-0.00011,-1e-05,-0.00015,-0.00012
12.16,0.00598,-0.00057,-0.00034,-0.00029,-0.00024,-0.00024,-2e-05,-0.00011,-1e-05,-0.00015,-0.00012
12.76,0.00634,-0.00055,-0.00033,-0.0003,-0.00025,-0.00023,-1e-05,-0.00012,-2e-05,-0.00015,-0.00011
13.35,0.00669,-0.00054,-0.00033,-0.0003,-0.00026,-0.00022,-6e-06,-0.00012,-2e-05,-0.00015,-0.00011
13.95,0.00705,-0.00052,-0.00033,-0.0003,-0.00027,-0.00022,-8.57994e-07,-0.00012,-2e-05,-0.00015,-0.0001
14.54,0.00742,-0.00049,-0.00032,-0.00031,-0.00027,-0.00021,4e-06,-0.00013,-2e-05,-0.00015,-0.0001
