PlateVoltage,0V,-0.5V,-1.0V,-1.5V,-2.0V,-2.5V,-3.0V,-3.5V,-4.0V,-5.0V
0.008,-0.0002518,-0.0002457,-0.00085,-0.0002575,-0.000556,-0.0006022,-0.000311,-5.02e-05,-4.8e-05,-1.33e-05
0.691,0.0002397,0.0002325,-0.0002586,-6.9e-06,-0.0001753,-0.000208,-0.0001432,3.74e-05,4.3e-06,1.4e-06
1.374,0.0007312,0.0007108,0.0003328,0.0002437,0.0002055,0.0001862,2.47e-05,0.0001249,5.67e-05,1.61e-05
2.057,0.0011476,0.0011555,0.0009241,0.0004943,0.0005862,0.0005805,0.0001925,0.0002124,0.000109,3.08e-05
2.74,0.0014697,0.0015574,0.0015188,0.001169,0.0009306,0.0009747,0.0003603,0.0002999,0.0001613,4.55e-05
3.424,0.0017919,0.0019592,0.0021337,0.0020989,0.0012706,0.0012321,0.0005281,0.0003875,0.0002136,6.02e-05
4.107,0.003084,0.0031878,0.002696,0.002835,0.0016105,0.0013999,0.0006959,0.000475,0.000266,7.49e-05
4.79,0.0034859,0.0034595,0.0032075,0.0030496,0.001853,0.0015677,0.0008637,0.0005625,0.0003183,8.96e-05
5.473,0.0038877,0.0037312,0.0036909,0.0032643,0.0020795,0.0017355,0.0010315,0.00065,0.0003706,0.0001039
6.156,0.0043988,0.004033,0.0041689,0.003479,0.0023061,0.0019033,0.0011809,0.0007376,0.000423,0.0001143
6.839,0.0049785,0.0045378,0.0046109,0.0036927,0.0025014,0.0020375,0.001327,0.0008251,0.0004753,0.0001247
7.522,0.0053174,0.0050376,0.0049757,0.0038995,0.0026274,0.0021543,0.0014732,0.0008789,0.0005276,0.0001351
8.205,0.0056485,0.0054181,0.0052123,0.0041063,0.0027535,0.0022711,0.0016006,0.0009302,0.0005706,0.0001455
8.889,0.0059795,0.0057987,0.0053623,0.0042624,0.0028795,0.002388,0.0016676,0.0009815,0.0006027,0.0001559
9.572,0.0063667,0.0062185,0.0055123,0.0043568,0.0030055,0.0024872,0.0017346,0.0010328,0.0006349,0.0001663
10.255,0.0067579,0.0066833,0.0056623,0.0044512,0.0031279,0.0025732,0.0018016,0.0010841,0.000667,0.0001767
10.938,0.0071452,0.0070814,0.0058124,0.0045457,0.0032428,0.0026591,0.0018686,0.0011354,0.0006992,0.0001794
11.621,0.0075257,0.0073608,0.0059624,0.0046401,0.0033577,0.002745,0.0019356,0.0011867,0.0007313,0.0001777
12.304,0.0079063,0.0076401,0.0061078,0.0047346,0.0034725,0.002831,0.0020026,0.0012256,0.0007635,0.000176
12.987,0.0081913,0.0079194,0.0062516,0.0048301,0.0035874,0.0029169,0.0020696,0.0012541,0.0007956,0.0001744
13.67,0.0084512,0.0081588,0.0063953,0.0049444,0.0037023,0.0030028,0.0021366,0.0012826,0.0008161,0.0001727
14.354,0.0087112,0.0083914,0.0065391,0.0050587,0.0038049,0.0030831,0.0021727,0.0013112,0.0008281,0.000171
15.037,0.0089711,0.0086239,0.0066828,0.005173,0.0038895,0.0031457,0.0022074,0.0013397,0.0008401,0.0001693
15.72,0.0092899,0.0088564,0.0068538,0.0052873,0.0039741,0.0032083,0.0022422,0.0013682,0.0008521,0.0001676
16.403,0.0096209,0.0090496,0.0070863,0.0054016,0.0040586,0.0032709,0.002277,0.0013967,0.0008642,0.000166
17.086,0.009952,0.0091885,0.0073189,0.0055159,0.0041432,0.0033335,0.0023117,0.0014253,0.0008762,0.0001643
17.769,0.0102001,0.0093159,0.0075514,0.0056373,0.0042278,0.0033961,0.0023465,0.0014538,0.0008882,0.0001626
18.452,0.0104267,0.0094359,0.0077839,0.0057829,0.0043293,0.0034587,0.0023813,0.0014823,0.0009003,0.0001609
19.135,0.0106533,0.0095558,0.0079195,0.0059285,0.0044511,0.0035129,0.0024161,0.0015108,0.0009123,0.0001593
19.819,0.0108798,0.0096963,0.0080413,0.0060741,0.004573,0.003565,0.0024508,0.0015286,0.0009243,0.0001596
20.502,0.0111135,0.0098393,0.0081632,0.0062197,0.0046948,0.0036171,0.0024856,0.0015447,0.0009364,0.0001599
21.185,0.01136,0.0099824,0.0082851,0.0063653,0.0048167,0.0036692,0.0025157,0.0015609,0.0009455,0.0001602
21.868,0.0116066,0.010102,0.0084069,0.0064868,0.0048943,0.0037213,0.0025443,0.0015771,0.0009542,0.0001605
22.551,0.0118531,0.0102125,0.0085288,0.0065649,0.0049674,0.0037734,0.002573,0.0015932,0.0009629,0.0001608
23.234,0.012092,0.0103231,0.0086476,0.0066429,0.0050406,0.0038255,0.0026016,0.0016094,0.0009716,0.0001611
23.917,0.0123186,0.0104523,0.0087207,0.0067209,0.0051138,0.0038776,0.0026302,0.0016255,0.0009804,0.0001614
24.6,0.0125452,0.0105818,0.0087939,0.006799,0.0051869,0.0039297,0.0026589,0.0016417,0.0009891,0.0001618
25.283,0.0127717,0.0107036,0.0088671,0.006877,0.0052601,0.0039807,0.0026875,0.0016579,0.0009978,0.0001621
25.967,0.0129983,0.0108047,0.0089402,0.0069551,0.0053323,0.0040216,0.0027162,0.001674,0.0010065,0.0001624
26.65,0.0131877,0.0109058,0.0090134,0.0070331,0.0053586,0.0040626,0.0027448,0.0016902,0.0010152,0.0001627
27.333,0.0133749,0.0110045,0.0090866,0.0071112,0.005385,0.0041036,0.0027731,0.0017063,0.0010239,0.000163
28.016,0.0135621,0.0111009,0.0091597,0.007154,0.0054113,0.0041446,0.0027863,0.0017225,0.0010327,0.0001633
28.699,0.0137493,0.0111974,0.0092329,0.007177,0.0054376,0.0041856,0.0027996,0.0017387,0.0010414,0.000165
29.382,0.0139365,0.0112938,0.0092818,0.0072001,0.005464,0.0042134,0.0028128,0.0017548,0.0010501,0.0001667
30.065,0.0141173,0.0113903,0.0093246,0.0072231,0.0054903,0.0042306,0.002826,0.0017706,0.0010588,0.0001685
30.748,0.0142934,0.0114856,0.0093674,0.0072462,0.0055166,0.0042477,0.0028393,0.0017788,0.0010675,0.0001703
31.432,0.0144695,0.0115601,0.0094101,0.0072692,0.005543,0.0042649,0.0028525,0.001787,0.0010735,0.000172
32.115,0.0146171,0.0116346,0.0094529,0.0072923,0.0055693,0.004282,0.0028657,0.0017951,0.0010794,0.0001738
32.798,0.0147276,0.0117091,0.0094957,0.0073154,0.0055956,0.0042992,0.002879,0.0018033,0.0010853,0.0001755
33.481,0.0148381,0.0117836,0.0095384,0.0073384,0.005622,0.0043164,0.0028922,0.0018115,0.0010911,0.0001773
34.164,0.0149487,0.011858,0.0095812,0.0073615,0.0056483,0.0043326,0.0029054,0.0018197,0.001097,0.0001791
34.847,0.0150439,0.0119325,0.009624,0.0073845,0.005666,0.0043417,0.0029187,0.0018279,0.0011029,0.0001808
35.53,0.0151089,0.0119924,0.0096668,0.0074076,0.0056746,0.0043507,0.002929,0.0018361,0.0011087,0.0001826
36.213,0.015174,0.0120435,0.009705,0.0074306,0.0056832,0.0043598,0.0029347,0.0018443,0.0011146,0.0001843
36.897,0.0152391,0.0120945,0.0097197,0.0074537,0.0056918,0.0043688,0.0029404,0.0018525,0.0011205,0.0001861
37.58,0.0153042,0.0121456,0.0097344,0.0074767,0.0057003,0.0043778,0.0029461,0.0018607,0.0011264,0.0001879
