PlateVoltage,0V,-1V,-2V,-3V,-4V,-5V,-6V,-7V,-8V,-9V,-10V,-11V,-12V
0.089,9.44e-05,0.000106,0.0001197,0.0001833,8.02e-05,0.0001123,-0.0020378,0.0001849,8.02e-05,0.0001252,0.0001252,0.0001832,0.0001261
0.702,0.0001488,0.0001066,0.0001197,0.0001818,7.96e-05,0.0001119,-0.00203,0.0001835,8e-05,0.0001249,0.000125,0.0001828,0.0001261
1.315,0.0002031,0.0001072,0.0001197,0.0001804,7.9e-05,0.0001115,-0.0020223,0.0001821,7.98e-05,0.0001245,0.0001248,0.0001824,0.000126
1.929,0.0002574,0.0001078,0.0001197,0.0001789,7.84e-05,0.0001111,-0.0020145,0.0001806,7.96e-05,0.0001242,0.0001245,0.000182,0.000126
2.542,0.0003118,0.0001084,0.0001198,0.0001775,7.78e-05,0.0001107,-0.0020067,0.0001792,7.94e-05,0.0001239,0.0001243,0.0001816,0.0001259
3.155,0.0003661,0.000109,0.0001198,0.000176,7.72e-05,0.0001103,-0.0019989,0.0001777,7.93e-05,0.0001235,0.0001241,0.0001812,0.0001259
3.768,0.0004204,0.0001096,0.0001198,0.0001746,7.66e-05,0.0001099,-0.0019912,0.0001763,7.91e-05,0.0001232,0.0001239,0.0001808,0.0001258
4.381,0.0004748,0.0001102,0.0001198,0.0001731,7.6e-05,0.0001095,-0.0019834,0.0001749,7.89e-05,0.0001228,0.0001237,0.0001804,0.0001258
4.994,0.0005291,0.0001108,0.0001199,0.0001716,7.54e-05,0.0001091,-0.0019756,0.0001734,7.87e-05,0.0001225,0.0001234,0.00018,0.0001257
5.607,0.0005834,0.0001114,0.0001199,0.0001702,7.48e-05,0.0001087,-0.0019678,0.000172,7.85e-05,0.0001222,0.0001232,0.0001795,0.0001257
6.22,0.0006378,0.000112,0.0001199,0.0001687,7.42e-05,0.0001083,-0.0019601,0.0001706,7.84e-05,0.0001218,0.000123,0.0001791,0.0001256
6.833,0.0006921,0.0001126,0.0001199,0.0001673,7.36e-05,0.0001079,-0.0019523,0.0001691,7.82e-05,0.0001215,0.0001228,0.0001787,0.0001256
7.446,0.0007464,0.0001132,0.00012,0.0001658,7.3e-05,0.0001075,-0.0019445,0.0001677,7.8e-05,0.0001212,0.0001226,0.0001783,0.0001255
8.059,0.0008007,0.0001138,0.00012,0.0001644,7.24e-05,0.0001071,-0.0019367,0.0001663,7.78e-05,0.0001208,0.0001223,0.0001779,0.0001255
8.673,0.0008551,0.0001144,0.00012,0.0001629,7.18e-05,0.0001067,-0.0019289,0.0001648,7.76e-05,0.0001205,0.0001221,0.0001775,0.0001254
9.286,0.0009094,0.000115,0.00012,0.0001615,7.12e-05,0.0001063,-0.0019212,0.0001634,7.75e-05,0.0001201,0.0001219,0.0001771,0.0001254
9.899,0.000965,0.0001156,0.0001201,0.00016,7.06e-05,0.0001059,-0.0019134,0.000162,7.73e-05,0.0001198,0.0001217,0.0001767,0.0001253
10.512,0.0010215,0.0001162,0.0001201,0.0001586,7e-05,0.0001055,-0.0019056,0.0001605,7.71e-05,0.0001195,0.0001215,0.0001763,0.0001253
11.125,0.001078,0.0001168,0.0001201,0.0001571,6.94e-05,0.0001052,-0.0018978,0.0001591,7.69e-05,0.0001191,0.0001212,0.0001759,0.0001252
11.738,0.0011345,0.0001174,0.0001201,0.0001557,6.88e-05,0.0001048,-0.0018901,0.0001577,7.67e-05,0.0001188,0.000121,0.0001754,0.0001252
12.351,0.0011911,0.000118,0.0001202,0.0001542,6.82e-05,0.0001044,-0.0018823,0.0001562,7.65e-05,0.0001184,0.0001208,0.000175,0.0001251
12.964,0.0012476,0.0001186,0.0001202,0.0001528,6.76e-05,0.000104,-0.0018745,0.0001548,7.64e-05,0.0001181,0.0001206,0.0001746,0.0001251
13.577,0.0013041,0.0001192,0.0001202,0.0001513,6.7e-05,0.0001036,-0.0018667,0.0001534,7.62e-05,0.0001178,0.0001204,0.0001742,0.000125
14.19,0.0013606,0.0001198,0.0001202,0.0001498,6.64e-05,0.0001032,-0.001859,0.0001519,7.6e-05,0.0001174,0.0001201,0.0001738,0.000125
14.803,0.0014171,0.0001204,0.0001202,0.0001484,6.58e-05,0.0001028,-0.0018512,0.0001505,7.58e-05,0.0001171,0.0001199,0.0001734,0.0001249
15.416,0.0014736,0.0001209,0.0001203,0.0001469,6.52e-05,0.0001024,-0.0018434,0.0001491,7.56e-05,0.0001168,0.0001197,0.000173,0.0001249
16.03,0.0015301,0.0001215,0.0001203,0.0001455,6.46e-05,0.000102,-0.0018356,0.0001476,7.55e-05,0.0001164,0.0001195,0.0001726,0.0001249
16.643,0.0015866,0.0001221,0.0001203,0.000144,6.4e-05,0.0001016,-0.0018279,0.0001462,7.53e-05,0.0001161,0.0001193,0.0001722,0.0001248
17.256,0.0016431,0.0001227,0.0001203,0.0001426,6.34e-05,0.0001012,-0.0018201,0.0001448,7.51e-05,0.0001157,0.000119,0.0001718,0.0001248
17.869,0.0016996,0.0001233,0.0001204,0.0001411,6.27e-05,0.0001008,-0.0018123,0.0001433,7.49e-05,0.0001154,0.0001188,0.0001714,0.0001247
18.482,0.0017562,0.0001246,0.0001204,0.0001397,6.21e-05,0.0001004,-0.0018045,0.0001419,7.47e-05,0.0001151,0.0001186,0.0001709,0.0001247
19.095,0.0018127,0.0001334,0.0001204,0.0001382,6.15e-05,0.0001,-0.0017967,0.0001404,7.45e-05,0.0001147,0.0001184,0.0001705,0.0001246
19.708,0.0018692,0.0001423,0.0001204,0.0001368,6.09e-05,9.96e-05,-0.001789,0.000139,7.44e-05,0.0001144,0.0001182,0.0001701,0.0001246
20.321,0.0019257,0.0001511,0.0001205,0.0001353,6.03e-05,9.92e-05,-0.0017812,0.0001376,7.42e-05,0.0001141,0.0001179,0.0001697,0.0001245
20.934,0.0019822,0.0001599,0.0001205,0.0001339,5.97e-05,9.88e-05,-0.0017734,0.0001361,7.4e-05,0.0001137,0.0001177,0.0001693,0.0001245
21.547,0.0020387,0.0001688,0.0001205,0.0001324,5.91e-05,9.84e-05,-0.0017656,0.0001347,7.38e-05,0.0001134,0.0001175,0.0001689,0.0001244
22.16,0.0020952,0.0001776,0.0001205,0.000131,5.85e-05,9.8e-05,-0.0017579,0.0001333,7.36e-05,0.000113,0.0001173,0.0001685,0.0001244
22.773,0.0021517,0.0001864,0.0001206,0.0001295,5.79e-05,9.76e-05,-0.0017501,0.0001318,7.35e-05,0.0001127,0.0001171,0.0001681,0.0001243
23.387,0.0022119,0.0001953,0.0001206,0.0001281,5.73e-05,9.72e-05,-0.0017423,0.0001304,7.33e-05,0.0001124,0.0001168,0.0001677,0.0001243
24,0.0022787,0.0002041,0.0001206,0.0001266,5.67e-05,9.68e-05,-0.0017345,0.000129,7.31e-05,0.000112,0.0001166,0.0001673,0.0001242
24.613,0.0023456,0.000213,0.0001206,0.0001251,5.61e-05,9.64e-05,-0.0017268,0.0001275,7.29e-05,0.0001117,0.0001164,0.0001668,0.0001242
25.226,0.0024124,0.0002218,0.0001207,0.0001237,5.55e-05,9.6e-05,-0.001719,0.0001261,7.27e-05,0.0001113,0.0001162,0.0001664,0.0001241
25.839,0.0024793,0.0002306,0.0001207,0.0001222,5.49e-05,9.57e-05,-0.0017112,0.0001247,7.25e-05,0.000111,0.000116,0.000166,0.0001241
26.452,0.0025461,0.0002395,0.0001207,0.0001208,5.43e-05,9.53e-05,-0.0017034,0.0001232,7.24e-05,0.0001107,0.0001157,0.0001656,0.000124
27.065,0.002613,0.0002483,0.0001207,0.0001193,5.37e-05,9.49e-05,-0.0016957,0.0001218,7.22e-05,0.0001103,0.0001155,0.0001652,0.000124
27.678,0.0026798,0.0002571,0.0001207,0.0001179,5.31e-05,9.45e-05,-0.0016879,0.0001204,7.2e-05,0.00011,0.0001153,0.0001648,0.0001239
28.291,0.0027467,0.000266,0.0001208,0.0001164,5.25e-05,9.41e-05,-0.0016801,0.0001189,7.18e-05,0.0001097,0.0001151,0.0001644,0.0001239
28.904,0.0028136,0.0002748,0.0001208,0.000115,5.19e-05,9.37e-05,-0.0016723,0.0001175,7.16e-05,0.0001093,0.0001149,0.000164,0.0001238
29.517,0.0028804,0.0002836,0.0001208,0.0001135,5.13e-05,9.33e-05,-0.0016645,0.0001161,7.15e-05,0.000109,0.0001146,0.0001636,0.0001238
30.131,0.0029473,0.0002925,0.0001208,0.0001121,5.07e-05,9.29e-05,-0.0016568,0.0001146,7.13e-05,0.0001086,0.0001144,0.0001632,0.0001237
30.744,0.0030141,0.0003013,0.0001209,0.0001106,5.01e-05,9.25e-05,-0.001649,0.0001132,7.11e-05,0.0001083,0.0001142,0.0001628,0.0001237
31.357,0.003081,0.0003102,0.0001209,0.0001092,4.95e-05,9.21e-05,-0.0016412,0.0001118,7.09e-05,0.000108,0.000114,0.0001623,0.0001236
31.97,0.0031478,0.000319,0.0001209,0.0001077,4.89e-05,9.17e-05,-0.0016334,0.0001103,7.07e-05,0.0001076,0.0001138,0.0001619,0.0001236
32.583,0.0032147,0.0003278,0.0001209,0.0001063,4.83e-05,9.13e-05,-0.0016257,0.0001089,7.05e-05,0.0001073,0.0001135,0.0001615,0.0001235
