PlateVoltage,0V,-1V,-2V,-3V,-4V
0.533,0.0212383,0.0140226,0.0089057,0.0038744,0.0014604
0.92,0.020905,0.013603,0.0085617,0.0038303,0.0014444
1.392,0.0204975,0.01309,0.0081411,0.0037764,0.0014248
1.751,0.0201886,0.0127011,0.0078223,0.0037355,0.0014099
2.055,0.0199262,0.0123708,0.0077226,0.0037008,0.0013973
2.998,0.0191138,0.0119811,0.0074138,0.0035933,0.0013582
3.003,0.0191087,0.0119787,0.0074119,0.0035927,0.001358
4.827,0.0175368,0.0112248,0.0068143,0.0033847,0.0012824
6.471,0.0166106,0.010545,0.0062757,0.0031972,0.0012142
7.451,0.0160587,0.0100054,0.0059546,0.0030855,0.0011736
7.956,0.0157742,0.0097272,0.0058526,0.0030279,0.0011526
8.553,0.015379,0.0093983,0.0057319,0.0029598,0.0011278
10.074,0.0143724,0.008916,0.0054244,0.0027863,0.0010648
12.235,0.0130746,0.008231,0.0049876,0.0025399,0.0009751
13.221,0.0124823,0.0079874,0.0047883,0.0024274,0.0009342
13.392,0.0124081,0.0079453,0.0047539,0.002408,0.0009272
14.57,0.0118943,0.0076543,0.0045157,0.0023585,0.0008783
14.69,0.0118421,0.0076247,0.0044915,0.0023534,0.0008762
16.289,0.0111447,0.0072297,0.0042903,0.0022862,0.0008485
16.873,0.0109739,0.0070855,0.0042168,0.0022617,0.0008384
19.57,0.0101844,0.0067207,0.0038774,0.0021483,0.0007917
21.292,0.0096805,0.006488,0.0037577,0.0020759,0.0007618
24.734,0.0091387,0.0060226,0.0035185,0.0019313,0.0007022
25.018,0.0090939,0.0059841,0.0035084,0.0019193,0.0006972
26.892,0.0087989,0.0058467,0.003442,0.0018405,0.0006648
27.702,0.0086713,0.0057873,0.0034133,0.0018284,0.0006507
28.156,0.0085998,0.005754,0.0033972,0.0018216,0.0006483
35.277,0.0079655,0.0052318,0.0031447,0.001715,0.00061
35.674,0.0079508,0.0052027,0.0031306,0.001709,0.0006079
35.973,0.0079397,0.0051932,0.00312,0.0017045,0.0006063
40.66,0.0077659,0.0050453,0.0030424,0.0016343,0.0005811
45.623,0.0075818,0.0048885,0.0029603,0.0016088,0.0005545
45.927,0.0075705,0.0048852,0.0029553,0.0016072,0.0005528
47.161,0.0075247,0.0048719,0.0029349,0.0016009,0.0005497
48.463,0.0074981,0.0048578,0.0029133,0.0015942,0.0005465
60.662,0.0072482,0.0047255,0.0028378,0.0015313,0.0005159
63.36,0.007193,0.0047037,0.0028212,0.0015174,0.0005091
65.425,0.0071507,0.0046869,0.0028084,0.0015068,0.000504
67.34,0.0071338,0.0046714,0.0027965,0.0014969,0.0004992
67.649,0.0071311,0.0046689,0.0027946,0.0014953,0.0004987
